,YEAR,STATE_AB,STATE,INFANT_MORTALITY_RATE,INFANT_DEATHS,POVERTY_RATE,MEDIAN_INCOME,UNINSURED_RATE,GRADUATION_RATE,VIOLENT_CRIME_RATE
114,2018,IA,Iowa,4.98,188,0.112,68718.0,0.047,0.914,263.702996
115,2018,KS,Kansas,6.37,231,0.122,63938.0,0.088,0.872,441.7524599
116,2018,KY,Kentucky,6.05,326,0.167,54555.0,0.056,0.903,217.8584774
117,2018,LA,Louisiana,7.65,456,0.187,49973.0,0.08,0.814,543.2550234
118,2018,ME,Maine,5.52,68,0.112,58663.0,0.08,0.867,112.0191299
119,2018,MD,Maryland,6.02,428,0.088,86223.0,0.06,0.871,469.36596
120,2018,MA,Massachusetts,4.18,289,0.1,86345.0,0.028,0.878,340.33477
121,2018,MI,Michigan,6.22,684,0.14,60449.0,0.054,0.806,452.4807113
122,2018,MN,Minnesota,5.06,341,0.097,71817.0,0.044,0.832,221.235268
123,2018,MS,Mississippi,8.41,311,0.2,42781.0,0.121,0.84,265.9827844
124,2018,MO,Missouri,6.35,465,0.132,61726.0,0.094,0.892,501.4356487
125,2018,MT,Montana,4.78,55,0.121,57679.0,0.082,0.864,380.8931189
126,2018,NE,Nebraska,5.77,147,0.115,67575.0,0.083,0.887,289.9334965
127,2018,NV,Nevada,6.14,219,0.13,61864.0,0.112,0.832,552.1346951
128,2018,NH,New Hampshire,3.5,42,0.072,81346.0,0.057,0.888,177.6181874
129,2018,NJ,New Jersey,3.8,385,0.094,74176.0,0.074,0.909,208.5972074
130,2018,NM,New Mexico,5.69,131,0.201,48283.0,0.095,0.739,842.7703189
131,2018,NY,New York,4.33,979,0.138,67274.0,0.054,0.823,350.7975868
132,2018,NC,North Carolina,6.75,803,0.141,53369.0,0.107,0.863,356.206621
133,2018,ND,North Dakota,5.64,60,0.102,66505.0,0.073,0.881,284.1388772
134,2018,OH,Ohio,6.94,938,0.139,61633.0,0.065,0.821,294.835514
135,2018,OK,Oklahoma,7.09,353,0.154,54434.0,0.142,0.818,474.6163617
136,2018,OR,Oregon,4.22,178,0.122,69165.0,0.071,0.787,290.4431159
137,2018,PA,Pennsylvania,5.94,806,0.122,64524.0,0.055,0.859,305.4389364
138,2018,RI,Rhode Island,4.95,52,0.126,62266.0,0.041,0.84,219.7891498
139,2018,SC,South Carolina,7.11,403,0.151,57444.0,0.105,0.81,500.830423
140,2018,SD,South Dakota,5.89,70,0.133,59463.0,0.098,0.841,396.3819196
141,2018,TN,Tennessee,6.89,556,0.154,56060.0,0.101,0.9,630.3798893
142,2018,TX,Texas,5.48,2075,0.148,59785.0,0.177,0.9,412.8624086
143,2018,UT,Utah,5.49,259,0.088,77067.0,0.094,0.87,239.4444356
144,2018,VT,Vermont,6.44,35,0.111,70066.0,0.04,0.851,184.9900218
145,2018,VA,Virginia,5.61,560,0.107,77151.0,0.088,0.875,204.1691104
146,2018,WA,Washington,4.69,404,0.105,79726.0,0.064,0.867,315.2500396
147,2018,WV,West Virginia,6.96,127,0.177,50573.0,0.064,0.902,299.8961919
148,2018,WI,Wisconsin,6.12,392,0.108,62629.0,0.055,0.897,299.0147408
149,2018,WY,Wyoming,5.33,35,0.111,62539.0,0.105,0.817,213.8154193
150,2017,AL,Alabama,7.38,435,0.168,50865.0,0.094,0.893,522.4281659
151,2017,AK,Alaska,5.74,60,0.117,77987.0,0.137,0.782,856.7342448
152,2017,AZ,Arizona,5.7,467,0.147,59700.0,0.101,0.78,505.7118326
153,2017,AR,Arkansas,8.1,304,0.162,49751.0,0.079,0.88,565.9679314
154,2017,CA,California,4.2,1981,0.132,70038.0,0.072,0.827,453.299368
155,2017,CO,Colorado,4.49,289,0.103,74984.0,0.075,0.791,372.1752979
156,2017,CT,Connecticut,4.51,159,0.094,74304.0,0.055,0.879,229.1627027
157,2017,DE,Delaware,6.26,68,0.129,64961.0,0.054,0.869,457.3294967
158,2017,FL,Florida,6.1,1364,0.14,53086.0,0.129,0.823,408.0982372
159,2017,GA,Georgia,7.18,928,0.152,57985.0,0.134,0.806,356.4563906
160,2017,HI,Hawaii,5.42,95,0.106,73599.0,0.038,0.827,251.1580161
161,2017,ID,Idaho,4.55,101,0.132,59497.0,0.101,0.797,239.1640254
162,2017,IL,Illinois,6.12,915,0.127,65969.0,0.068,0.87,436.2282574
163,2017,IN,Indiana,7.22,593,0.135,58767.0,0.082,0.838,394.9951367
164,2017,IA,Iowa,5.31,204,0.102,63467.0,0.047,0.91,287.5013877
165,2017,KS,Kansas,6.02,220,0.12,56900.0,0.087,0.865,400.3863003
166,2017,KY,Kentucky,6.59,361,0.174,49672.0,0.054,0.897,231.0797297
167,2017,LA,Louisiana,7.06,431,0.2,43565.0,0.084,0.781,556.3479459
168,2017,ME,Maine,5.85,72,0.114,53316.0,0.081,0.869,120.59356
169,2017,MD,Maryland,6.43,461,0.094,82093.0,0.061,0.877,503.2622167
170,2017,MA,Massachusetts,3.66,259,0.104,76243.0,0.028,0.883,354.3221385
171,2017,MI,Michigan,6.78,755,0.142,56405.0,0.052,0.802,449.889625
172,2017,MN,Minnesota,4.8,329,0.098,69975.0,0.044,0.827,239.6664604
173,2017,MS,Mississippi,8.73,326,0.197,43281.0,0.12,0.83,256.2496174
174,2017,MO,Missouri,6.26,457,0.133,56530.0,0.091,0.883,531.2172389
175,2017,MT,Montana,5.51,65,0.126,57407.0,0.085,0.858,373.8521874
